id,likes_count,from_id,from_name,message,created_time,type,link,story,comments_count,shares_count,love_count,haha_count,wow_count,sad_count,angry_count
540404695989874_1487832147913786,1349,5.40405E+14,AfD,"Am vergangenen Freitag und Samstag wurden jeweils 3.000 Migranten von NGOs, Hilfsorganisationen und Frontex nach Sizilien verbracht. Rechnet man das hoch, kommen derzeit etwa 90.000 Asylbegehrende monatlich in der EU an, die im Mittelmeer unweit der libyschen Küste aufgelesen werden.

Während die hiesigen Leitmedien dies wie schon 2015 als Heldentaten der beteiligten Organisationen darstellen, und nicht etwa als das was es ist, nämlich eine Unterstützung der Schlepper, stellt sich abermals die Frage, wie insbesondere Deutschland einen neuen Asylansturm verkraften soll. Schon jetzt hat die Wanderungsbewegung von Asylbewerbern innerhalb der EU in Richtung Deutschland alarmierende Ausmaße erreicht, ein Großteil der in Italien ankommenden Menschen hat eben nur ein Ziel: Deutschland.

Wir fordern, die deutschen Grenzen umgehend zu schließen und illegale Grenzübertritte zu verhindern. Weiterhin müssen endlich nordafrikanische Asylzentren geschaffen werden. Wer Schutz vor Krieg und Vertreibung sucht, muss vor Ort versorgt werden können, damit entfiele auch eine Überfahrt nach Europa gänzlich.

https://www.merkur.de/politik/hilfsorganisationen-alarmiert-rund-6000-migranten-in-48-stunden-aus-mittelmeer-gerettet-zr-8267506.html",2017-05-08T13:42:12+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1487832147913786/?type=3,NA,488,2830,1,39,99,60,1644
540404695989874_1488659424497725,684,5.40405E+14,AfD,"""Sie tun es wieder. Oder stellen wir das zunächst in Frage? Oder weiß es die FDP vielleicht selber nicht? Ach, wer weiß das schon?

In jedem Fall verspricht die Lindner-Partei immer und immer wieder, daß sie nach einer anstehenden Wahl nicht mit der SPD und / oder den Grünen gemeinsame Sache machen wird, um die nächste Ampel- bzw. in Verbindung mit der CDU eine Jamaica-Koalition entstehen zu lassen.

Seit gestern Abend ist die nächste Runde eröffnet und dieses Mal trifft es wohl die Bürger Schleswig-Holsteins, die ihre 'liberale' Partei aus dem Wahlkampf so im Parlament nicht wiederfinden werden.

Wer freiheitliche, konservative und vor allem bürgerliche Politik im NRW-Landtag sehen möchte, der kommt an einer Stimme für die AfD nicht vorbei.""",2017-05-09T08:02:42+0000,photo,https://www.facebook.com/AfDfuerNRW/photos/a.469075843164402.1073741828.459077044164282/1474864175918892/?type=3,AfD shared Alternative für Deutschland NRW · AfD NRW's photo.,110,0,4,70,5,5,82
540404695989874_1488792471151087,2104,5.40405E+14,AfD,"""Durch von der Leyens Führungsschwäche und Planlosigkeit in Kombination mit der Aussetzung der Wehrpflicht, ist dieses Problem überhaupt erst entstanden. Die Soldaten werden von ihrer Führung allein gelassen, ohne dass es ein gesellschaftliches Korrektiv der Wehrpflicht, das einiges an verquerem Gedankengut hätte auffangen können, mehr gibt.

Wir brauchen daher eine neue Führung in der Bundeswehr. Frau von der Leyen und ihr Generalinspekteur müssen gehen, die Wehrpflicht muss wiedereingesetzt werden. Nur so können wir die Bundeswehr wieder auf den richtigen Weg bringen.""

https://www.alternativefuer.de/georg-pazderski-von-der-leyens-fuehrungsschwaeche-ist-teil-des-problems/",2017-05-09T11:54:39+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1488792471151087/?type=3,NA,169,387,46,9,5,1,20
540404695989874_1488897667807234,2395,5.40405E+14,AfD,"""Wir haben Schengen 30 Jahre auf dem Papier, nichts umgesetzt, und das merkt man dann eben erst 2015, als das erste Bötchen über das Mittelmeer kommt. Man hat die Binnengrenzen aufgemacht, ohne die Außengrenzen zu sichern!""",2017-05-09T14:10:03+0000,video,https://www.facebook.com/aliceweidel/videos/1534614623216434/,AfD shared Alice Weidel's video.,198,0,107,37,16,7,12
540404695989874_1488900367806964,1069,5.40405E+14,AfD,"Bundessprecherin Dr. Frauke Petry: ""Seit Beginn der Asylkrise kommt das BAMF nicht aus den Schlagzeilen. Jetzt offenbart der Fall von Franco A. erneut, wie brisant die Lage ist.

Der Behörde ist jede Kontrolle abhanden gekommen, wer hier als potenzieller Flüchtling Einzug ins System findet. Getreu der Devise: Syrer ist, wer sich als solcher ausgibt, arbeitet man stümperhaft, lässt Sorgfalt, ebenso wie Verantwortungsbewusstsein missen.""",2017-05-09T16:22:00+0000,photo,https://www.facebook.com/Dr.Frauke.Petry/photos/a.782724038446912.1073741828.782456275140355/1469465356439440/?type=3,AfD shared Dr. Frauke Petry's photo.,133,0,10,144,20,30,394
540404695989874_1489027937794207,604,5.40405E+14,AfD,"+++ Lebensgefährlich: Mutmaßlicher Anschlag auf #AfD-Direktkandidat beim Wahlkampf auf Vingster Ring +++

KÖLN, 09.05.2017. Auf den Kölner AfD-Landtagskandidaten Günter „Gunnar“ Witzmann ist heute Morgen gegen 5 Uhr ein lebensgefährlicher mutmaßlicher A",2017-05-09T17:02:16+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1489027937794207/?type=3,NA,521,1242,2,18,85,273,1747
540404695989874_1489654851064849,750,5.40405E+14,AfD,"Vor mehr als 20 Jahren, genauer gesagt im Jahr 1993, wurde das Internet für alle Menschen zugänglich. Der erste kostenlose Browser ""Mosaic"" stand zum Download bereit, ein neues Zeitalter war geboren. Allerdings nicht überall: Noch 2013 bezeichnete Bundeskanzlerin Angela Merkel das Internet als ""Neuland"", viele ländliche Regionen sind nach wie vor abgehängt, der Ausbau schreitet nur langsam voran.

Das hindert die Altparteien nicht daran, alle Jahre wieder großspurig anzukündigen, die digitale Infrastruktur zu verbessern, ohne dass diese Versprechen jemals eingehalten werden. Einer OECD-Studie nach belegt das moderne Deutschland in Sachen Digitalausbau Platz 28 von 32, das Fraunhofer-Institut bescheinigt der Politik fehlende Ambitionen und Mutlosigkeit.

Sollte es auch bei Ihnen gefühlt Stunden dauern, bis sich unsere Facebook-Seite aufbaut, dann denken Sie an Frau Merkel und ihren Ausspruch vom ""Neuland Internet"". Und machen Sie Ihr Kreuzchen im September dann doch mal woanders. 

+++Wie schnell ist eigentlich Ihr Internet? Überprüfen Sie die Geschwindigkeit Ihres Anschlusses z.B. unter www.wieistmeineip.de und posten Sie das Ergebnis in die Kommentare unter diesem Beitrag!+++

https://www.welt.de/wirtschaft/webwelt/article164428115/So-vermurkst-Deutschland-den-Ausbau-des-schnellen-Internets.html",2017-05-10T08:07:05+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1489654851064849/?type=3,NA,159,144,3,120,6,10,42
540404695989874_1489832621047072,2406,5.40405E+14,AfD,"+++204,5 Millionen Euro* monatlich für 500.000 Asylbewerber in Hartz IV+++

Als Bereicherung für Kultur und Wirtschaft verkauften uns die Spitzenpolitiker der Altparteien die Migrationswelle nach Deutschland, die Realität sieht völlig anders aus. Die Fa",2017-05-10T13:01:37+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1489832621047072/?type=3,NA,289,1433,10,24,24,83,725
540404695989874_1488985157798485,1026,5.40405E+14,AfD,"Beatrix von Storch, stellvertretende Bundesvorsitzende, ist am morgigen Donnerstag zu Gast beim ""maybrit illner spezial"", in dem es um diese Themen geht: ""Einbrüche, Diebstähle, Gewalt und sexuelle Übergriffe haben in den letzten Jahren rapide zugenommen – die Zahl der 'nicht deutschen Täter' wächst deutlich. Die organisierten Diebesbanden kommen dabei meist aus Osteuropa – bei Gewaltkriminalität fallen junge Zuwanderer negativ auf. Kein Wunder also: Das Thema innere Sicherheit wird nicht nur für die kommende Wahl in Nordrhein-Westfalen ein bestimmendes.""

Einschalten: Donnerstag, 22:15 Uhr im ZDF!

https://www.zdf.de/politik/maybrit-illner/notruf-im-wahljahr-wie-sicher-ist-deutschland-spezial-vom-11-mai-2017-100.html",2017-05-10T14:00:00+0000,photo,https://www.facebook.com/alternativefuerde/photos/a.542889462408064.1073741828.540404695989874/1488985157798485/?type=3,NA,225,294,30,3,4,9,6
540404695989874_1490578900972444,1127,5.40405E+14,AfD,NA,2017-05-11T05:45:45+0000,photo,https://www.facebook.com/Dr.Frauke.Petry/photos/a.782724038446912.1073741828.782456275140355/1470458769673432/?type=3,AfD shared Dr. Frauke Petry's photo.,127,0,9,44,7,7,54
